date,state,value
2024-09-26T07:00:00Z,Arkansas,0.091
2024-09-26T07:00:00Z,California,0.727
2024-09-26T07:00:00Z,Colorado,0.5727500000000001
2024-09-26T07:00:00Z,Connecticut,0.16774999999999998
2024-09-26T07:00:00Z,Delaware,0.52825
2024-09-26T07:00:00Z,District of Columbia,0.35775
2024-09-26T07:00:00Z,Florida,0.1165
2024-09-26T07:00:00Z,Georgia,0.165
2024-09-26T07:00:00Z,Hawaii,0.34425
2024-09-26T07:00:00Z,Idaho,0.40725
2024-09-26T07:00:00Z,Illinois,0.4945
2024-09-26T07:00:00Z,Indiana,0.662
2024-09-26T07:00:00Z,Iowa,0.39975000000000005
2024-09-26T07:00:00Z,Kansas,0.47900000000000004
2024-09-26T07:00:00Z,Kentucky,NA
2024-09-26T07:00:00Z,Louisiana,0.1795
2024-09-26T07:00:00Z,Maine,0.36924999999999997
2024-09-26T07:00:00Z,Maryland,NA
2024-09-26T07:00:00Z,Massachusetts,0.44775
2024-09-26T07:00:00Z,Michigan,0.40049999999999997
2024-09-26T07:00:00Z,Minnesota,0.77025
2024-09-26T07:00:00Z,Mississippi,0.17049999999999998
2024-09-26T07:00:00Z,Missouri,NA
2024-09-26T07:00:00Z,Montana,0.27175
2024-09-26T07:00:00Z,Nebraska,0.33625000000000005
2024-09-26T07:00:00Z,Nevada,0.6699999999999999
2024-09-26T07:00:00Z,New Hampshire,0.09975
2024-09-26T07:00:00Z,New Jersey,0.35175
2024-09-26T07:00:00Z,New Mexico,0.6665
2024-09-26T07:00:00Z,New York,0.5635
2024-09-26T07:00:00Z,North Carolina,0.02725
2024-09-26T07:00:00Z,North Dakota,0.52025
2024-09-26T07:00:00Z,Ohio,0.423
2024-09-26T07:00:00Z,Oklahoma,0.3465
2024-09-26T07:00:00Z,Oregon,0.21275
2024-09-26T07:00:00Z,Pennsylvania,0.379
2024-09-26T07:00:00Z,Rhode Island,0.0705
2024-09-26T07:00:00Z,South Carolina,0.192
2024-09-26T07:00:00Z,South Dakota,0.50225
2024-09-26T07:00:00Z,Tennessee,0.46
2024-09-26T07:00:00Z,Texas,0.78175
2024-09-26T07:00:00Z,United States,0.62175
2024-09-26T07:00:00Z,Utah,0.78725
2024-09-26T07:00:00Z,Vermont,0.07025
2024-09-26T07:00:00Z,Virginia,0.41175
2024-09-26T07:00:00Z,Washington,0.058
2024-09-26T07:00:00Z,West Virginia,0.1465
2024-09-26T07:00:00Z,Wisconsin,NA
2024-09-26T07:00:00Z,Wyoming,NA
2024-09-27T07:00:00Z,Alabama,0.11299999999999999
2024-09-27T07:00:00Z,Alaska,0.3885
2024-09-27T07:00:00Z,Arizona,0.8807499999999999
2024-09-27T07:00:00Z,Arkansas,0.091
2024-09-27T07:00:00Z,California,0.727
2024-09-27T07:00:00Z,Colorado,0.5727500000000001
2024-09-27T07:00:00Z,Connecticut,0.16774999999999998
2024-09-27T07:00:00Z,Delaware,0.52825
2024-09-27T07:00:00Z,District of Columbia,0.35775
2024-09-27T07:00:00Z,Florida,0.1165
2024-09-27T07:00:00Z,Georgia,0.165
2024-09-27T07:00:00Z,Hawaii,0.34425
2024-09-27T07:00:00Z,Idaho,0.40725
2024-09-27T07:00:00Z,Illinois,0.4945
2024-09-27T07:00:00Z,Indiana,0.662
2024-09-27T07:00:00Z,Iowa,0.39975000000000005
2024-09-27T07:00:00Z,Kansas,0.47900000000000004
2024-09-27T07:00:00Z,Kentucky,NA
2024-09-27T07:00:00Z,Louisiana,0.1795
2024-09-27T07:00:00Z,Maine,0.36924999999999997
2024-09-27T07:00:00Z,Maryland,NA
2024-09-27T07:00:00Z,Massachusetts,0.44775
2024-09-27T07:00:00Z,Michigan,0.40049999999999997
2024-09-27T07:00:00Z,Minnesota,0.77025
2024-09-27T07:00:00Z,Mississippi,0.17049999999999998
2024-09-27T07:00:00Z,Missouri,NA
2024-09-27T07:00:00Z,Montana,0.27175
2024-09-27T07:00:00Z,Nebraska,0.33625000000000005
2024-09-27T07:00:00Z,Nevada,0.6699999999999999
2024-09-27T07:00:00Z,New Hampshire,0.09975
2024-09-27T07:00:00Z,New Jersey,0.35175
2024-09-27T07:00:00Z,New Mexico,0.6665
2024-09-27T07:00:00Z,New York,0.5635
2024-09-27T07:00:00Z,North Carolina,0.02725
2024-09-27T07:00:00Z,North Dakota,0.52025
2024-09-27T07:00:00Z,Ohio,0.423
2024-09-27T07:00:00Z,Oklahoma,0.3465
2024-09-27T07:00:00Z,Oregon,0.21275
2024-09-27T07:00:00Z,Pennsylvania,0.379
2024-09-27T07:00:00Z,Rhode Island,0.0705
2024-09-27T07:00:00Z,South Carolina,0.192
2024-09-27T07:00:00Z,South Dakota,0.50225
2024-09-27T07:00:00Z,Tennessee,0.46
2024-09-27T07:00:00Z,Texas,0.78175
2024-09-27T07:00:00Z,United States,0.62175
2024-09-27T07:00:00Z,Utah,0.78725
2024-09-27T07:00:00Z,Vermont,0.07025
2024-09-27T07:00:00Z,Virginia,0.41175
2024-09-27T07:00:00Z,Washington,0.058
2024-09-27T07:00:00Z,West Virginia,0.1465
2024-09-27T07:00:00Z,Wisconsin,NA
2024-09-27T07:00:00Z,Wyoming,NA
2024-09-28T07:00:00Z,Alabama,0.11299999999999999
2024-09-28T07:00:00Z,Alaska,0.3885
2024-09-28T07:00:00Z,Arizona,0.8807499999999999
2024-09-28T07:00:00Z,Arkansas,0.091
2024-09-28T07:00:00Z,California,0.727
2024-09-28T07:00:00Z,Colorado,0.5727500000000001
2024-09-28T07:00:00Z,Connecticut,0.16774999999999998
2024-09-28T07:00:00Z,Delaware,0.52825
2024-09-28T07:00:00Z,District of Columbia,0.35775
2024-09-28T07:00:00Z,Florida,0.1165
2024-09-28T07:00:00Z,Georgia,0.165
2024-09-28T07:00:00Z,Hawaii,0.34425
2024-09-28T07:00:00Z,Idaho,0.40725
2024-09-28T07:00:00Z,Illinois,0.4945
2024-09-28T07:00:00Z,Indiana,0.662
2024-09-28T07:00:00Z,Iowa,0.39975000000000005
2024-09-28T07:00:00Z,Kansas,0.47900000000000004
2024-09-28T07:00:00Z,Kentucky,NA
2024-09-28T07:00:00Z,Louisiana,0.1795
2024-09-28T07:00:00Z,Maine,0.36924999999999997
2024-09-28T07:00:00Z,Maryland,NA
2024-09-28T07:00:00Z,Massachusetts,0.44775
2024-09-28T07:00:00Z,Michigan,0.40049999999999997
2024-09-28T07:00:00Z,Minnesota,0.77025
2024-09-28T07:00:00Z,Mississippi,0.17049999999999998
2024-09-28T07:00:00Z,Missouri,NA
2024-09-28T07:00:00Z,Montana,0.27175
2024-09-28T07:00:00Z,Nebraska,0.33625000000000005
2024-09-28T07:00:00Z,Nevada,0.6699999999999999
2024-09-28T07:00:00Z,New Hampshire,0.09975
2024-09-28T07:00:00Z,New Jersey,0.35175
2024-09-28T07:00:00Z,New Mexico,0.6665
2024-09-28T07:00:00Z,New York,0.5635
2024-09-28T07:00:00Z,North Carolina,0.02725
2024-09-28T07:00:00Z,North Dakota,0.52025
2024-09-28T07:00:00Z,Ohio,0.423
